Label,Message
spam,Invoice #44312 needs payment today. See details: http://613.cryptoearnings.biz
ham,I'll send the logs over after lunch.
spam,Your mobile plan will expire soon. Renew now: http://45.gov-secure.net
spam,Critical security update required. Click to download patch: http://771.gov-secure.net
ham,"Hey, let's grab coffee after the team sync?"
ham,Lunch is on me today if you’re free.
spam,Earn free Bitcoin now. Only a few spots left: http://617.gov-secure.net
ham,I'm uploading the Q1 security audit report now.
ham,I'll send the logs over after lunch.
spam,Reset your password now or lose access to your account: http://882.gov-secure.net
ham,"Hey, let's grab coffee after the team sync?"
spam,Suspicious withdrawal of $3915.36 detected. Verify immediately: http://216.claim-today.org
spam,Order #891909 cannot be delivered. Reschedule now: http://494.updatelink.co
spam,Deposit 0.01 BTC and get 10x back instantly: http://607.auth-fix.com
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Your medical test results are in. View securely: http://779.updatelink.co
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://943.cryptoearnings.biz"
ham,Sending the final report to the SOC team now.
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Thanks for reviewing the new device policy doc.
ham,I'll send the logs over after lunch.
ham,Meeting's moved to Friday — updating the calendar.
ham,Have you seen the updated incident response flow?
ham,Meeting's moved to Friday — updating the calendar.
spam,Suspicious SIM change detected. Review your account: http://209.updatelink.co
spam,Deposit 0.01 BTC and get 10x back instantly: http://559.cryptoearnings.biz
spam,Suspicious withdrawal of $564.24 detected. Verify immediately: http://15.claim-today.org
ham,I'm uploading the Q1 security audit report now.
ham,I'll send the logs over after lunch.
ham,Have you seen the updated incident response flow?
ham,Can you help troubleshoot the VPN connection later?
ham,I'll send the logs over after lunch.
spam,New sign-in from unknown device. Confirm identity: http://901.updatelink.co
spam,IRS notice: You owe $4361.04 in back taxes. Pay now to avoid legal action: http://921.gov-secure.net
ham,Lunch is on me today if you’re free.
spam,Critical security update required. Click to download patch: http://660.claim-today.org
ham,Sending the final report to the SOC team now.
ham,Sending the final report to the SOC team now.
spam,Critical security update required. Click to download patch: http://565.updatelink.co
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://196.updatelink.co
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://947.cryptoearnings.biz"
ham,Have you seen the updated incident response flow?
spam,Receipt for your $$4608.80 purchase is attached. Open here: http://269.cryptoearnings.biz
spam,Your tax return was flagged for fraud. Respond here: http://975.cryptoearnings.biz
ham,Have you seen the updated incident response flow?
spam,Your tax return was flagged for fraud. Respond here: http://940.gov-secure.net
spam,Earn free Bitcoin now. Only a few spots left: http://891.gov-secure.net
ham,Don't forget the phishing awareness webinar on Thursday.
ham,"Hey, let's grab coffee after the team sync?"
spam,New sign-in from unknown device. Confirm identity: http://296.claim-today.org
ham,Thanks for reviewing the new device policy doc.
spam,IRS notice: You owe $2825.28 in back taxes. Pay now to avoid legal action: http://316.claim-today.org
ham,Can you help troubleshoot the VPN connection later?
ham,"Hey, let's grab coffee after the team sync?"
spam,Deposit 0.01 BTC and get 10x back instantly: http://547.cryptoearnings.biz
ham,Lunch is on me today if you’re free.
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://199.auth-fix.com
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Meeting's moved to Friday — updating the calendar.
ham,I'll send the logs over after lunch.
ham,Meeting's moved to Friday — updating the calendar.
spam,Order #184008 cannot be delivered. Reschedule now: http://615.claim-today.org
ham,Sending the final report to the SOC team now.
ham,I'll send the logs over after lunch.
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://125.auth-fix.com
ham,I'll send the logs over after lunch.
spam,Earn free Bitcoin now. Only a few spots left: http://244.claim-today.org
ham,Can you help troubleshoot the VPN connection later?
spam,Suspicious SIM change detected. Review your account: http://974.cryptoearnings.biz
ham,Meeting's moved to Friday — updating the calendar.
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://689.cryptoearnings.biz
spam,Your computer is infected! Call Microsoft Support now: http://336.claim-today.org
ham,Thanks for reviewing the new device policy doc.
spam,Receipt for your $$4342.33 purchase is attached. Open here: http://810.updatelink.co
spam,Your mobile plan will expire soon. Renew now: http://212.cryptoearnings.biz
ham,Have you seen the updated incident response flow?
ham,Lunch is on me today if you’re free.
spam,IRS notice: You owe $1603.84 in back taxes. Pay now to avoid legal action: http://547.auth-fix.com
ham,Have you seen the updated incident response flow?
spam,Your mobile plan will expire soon. Renew now: http://178.cryptoearnings.biz
spam,Your medical test results are in. View securely: http://132.claim-today.org
ham,Sending the final report to the SOC team now.
spam,New sign-in from unknown device. Confirm identity: http://576.auth-fix.com
ham,Can you help troubleshoot the VPN connection later?
ham,Lunch is on me today if you’re free.
ham,Meeting's moved to Friday — updating the calendar.
spam,You're the lucky winner of our sweepstakes. Confirm details: http://578.claim-today.org
ham,I'm uploading the Q1 security audit report now.
spam,Receipt for your $$4019.95 purchase is attached. Open here: http://591.claim-today.org
spam,IRS notice: You owe $2047.85 in back taxes. Pay now to avoid legal action: http://90.claim-today.org
spam,IRS notice: You owe $4823.63 in back taxes. Pay now to avoid legal action: http://29.updatelink.co
ham,Sending the final report to the SOC team now.
spam,Suspicious SIM change detected. Review your account: http://61.cryptoearnings.biz
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Suspicious SIM change detected. Review your account: http://338.cryptoearnings.biz
ham,Meeting's moved to Friday — updating the calendar.
spam,You're the lucky winner of our sweepstakes. Confirm details: http://352.claim-today.org
ham,Have you seen the updated incident response flow?
spam,New sign-in from unknown device. Confirm identity: http://683.auth-fix.com
spam,New sign-in from unknown device. Confirm identity: http://994.gov-secure.net
spam,Invoice #44312 needs payment today. See details: http://222.gov-secure.net
spam,Your medical test results are in. View securely: http://448.cryptoearnings.biz
ham,I'll send the logs over after lunch.
ham,Lunch is on me today if you’re free.
ham,Can you help troubleshoot the VPN connection later?
spam,Order #189172 cannot be delivered. Reschedule now: http://399.claim-today.org
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Receipt for your $$4849.16 purchase is attached. Open here: http://223.gov-secure.net
ham,"Hey, let's grab coffee after the team sync?"
ham,Have you seen the updated incident response flow?
spam,Invoice #44312 needs payment today. See details: http://493.auth-fix.com
spam,Invoice #44312 needs payment today. See details: http://233.auth-fix.com
ham,I'm uploading the Q1 security audit report now.
spam,IRS notice: You owe $1022.93 in back taxes. Pay now to avoid legal action: http://587.gov-secure.net
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://940.updatelink.co
ham,I'm uploading the Q1 security audit report now.
ham,I'll send the logs over after lunch.
spam,Suspicious withdrawal of $1440.59 detected. Verify immediately: http://135.gov-secure.net
spam,New sign-in from unknown device. Confirm identity: http://567.auth-fix.com
spam,Your computer is infected! Call Microsoft Support now: http://127.updatelink.co
spam,Invoice #44312 needs payment today. See details: http://829.cryptoearnings.biz
spam,Your mobile plan will expire soon. Renew now: http://496.gov-secure.net
spam,Suspicious SIM change detected. Review your account: http://376.updatelink.co
spam,Earn free Bitcoin now. Only a few spots left: http://478.auth-fix.com
ham,Have you seen the updated incident response flow?
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://61.cryptoearnings.biz
spam,Your computer is infected! Call Microsoft Support now: http://23.claim-today.org
spam,Your computer is infected! Call Microsoft Support now: http://401.gov-secure.net
spam,Your tax return was flagged for fraud. Respond here: http://234.updatelink.co
spam,Suspicious SIM change detected. Review your account: http://507.auth-fix.com
ham,Sending the final report to the SOC team now.
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Suspicious SIM change detected. Review your account: http://688.auth-fix.com
ham,I'm uploading the Q1 security audit report now.
ham,Meeting's moved to Friday — updating the calendar.
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://913.gov-secure.net
ham,Thanks for reviewing the new device policy doc.
ham,Meeting's moved to Friday — updating the calendar.
spam,IRS notice: You owe $4490.43 in back taxes. Pay now to avoid legal action: http://607.auth-fix.com
spam,Invoice #44312 needs payment today. See details: http://558.gov-secure.net
ham,I'll send the logs over after lunch.
ham,Have you seen the updated incident response flow?
spam,IRS notice: You owe $3620.94 in back taxes. Pay now to avoid legal action: http://241.updatelink.co
ham,Have you seen the updated incident response flow?
spam,Suspicious SIM change detected. Review your account: http://946.updatelink.co
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Have you seen the updated incident response flow?
spam,Critical security update required. Click to download patch: http://144.cryptoearnings.biz
spam,Suspicious withdrawal of $3509.62 detected. Verify immediately: http://193.gov-secure.net
spam,IRS notice: You owe $3857.95 in back taxes. Pay now to avoid legal action: http://936.claim-today.org
ham,Thanks for reviewing the new device policy doc.
ham,Sending the final report to the SOC team now.
ham,Can you help troubleshoot the VPN connection later?
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://977.auth-fix.com
ham,Thanks for reviewing the new device policy doc.
ham,Can you help troubleshoot the VPN connection later?
spam,Insurance claim denied. Appeal by clicking here: http://482.gov-secure.net
ham,Don't forget the phishing awareness webinar on Thursday.
ham,I'm uploading the Q1 security audit report now.
ham,Lunch is on me today if you’re free.
ham,"Hey, let's grab coffee after the team sync?"
spam,Your medical test results are in. View securely: http://284.cryptoearnings.biz
spam,New sign-in from unknown device. Confirm identity: http://517.claim-today.org
spam,Your tax return was flagged for fraud. Respond here: http://78.gov-secure.net
spam,Suspicious withdrawal of $4699.18 detected. Verify immediately: http://572.cryptoearnings.biz
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Sending the final report to the SOC team now.
ham,"Hey, let's grab coffee after the team sync?"
ham,Lunch is on me today if you’re free.
ham,I'll send the logs over after lunch.
spam,Your tax return was flagged for fraud. Respond here: http://712.updatelink.co
ham,I'll send the logs over after lunch.
spam,Invoice #44312 needs payment today. See details: http://775.gov-secure.net
spam,Invoice #44312 needs payment today. See details: http://288.updatelink.co
spam,Your tax return was flagged for fraud. Respond here: http://315.updatelink.co
ham,I'm uploading the Q1 security audit report now.
ham,Have you seen the updated incident response flow?
spam,Deposit 0.01 BTC and get 10x back instantly: http://872.cryptoearnings.biz
ham,Have you seen the updated incident response flow?
spam,Insurance claim denied. Appeal by clicking here: http://256.claim-today.org
ham,Have you seen the updated incident response flow?
spam,Suspicious SIM change detected. Review your account: http://710.updatelink.co
spam,Receipt for your $$2559.99 purchase is attached. Open here: http://815.claim-today.org
spam,IRS notice: You owe $226.70 in back taxes. Pay now to avoid legal action: http://568.auth-fix.com
spam,Your tax return was flagged for fraud. Respond here: http://785.gov-secure.net
spam,Critical security update required. Click to download patch: http://218.cryptoearnings.biz
ham,Don't forget the phishing awareness webinar on Thursday.
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://692.auth-fix.com"
spam,Deposit 0.01 BTC and get 10x back instantly: http://596.cryptoearnings.biz
spam,Earn free Bitcoin now. Only a few spots left: http://424.auth-fix.com
spam,Receipt for your $$3243.53 purchase is attached. Open here: http://710.updatelink.co
spam,Critical security update required. Click to download patch: http://833.auth-fix.com
spam,New sign-in from unknown device. Confirm identity: http://339.cryptoearnings.biz
ham,Don't forget the phishing awareness webinar on Thursday.
spam,IRS notice: You owe $4783.21 in back taxes. Pay now to avoid legal action: http://300.gov-secure.net
ham,I'm uploading the Q1 security audit report now.
ham,I'm uploading the Q1 security audit report now.
spam,Order #645552 cannot be delivered. Reschedule now: http://996.cryptoearnings.biz
ham,I'll send the logs over after lunch.
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://151.claim-today.org"
ham,Have you seen the updated incident response flow?
spam,Receipt for your $$2347.53 purchase is attached. Open here: http://988.gov-secure.net
spam,IRS notice: You owe $2547.96 in back taxes. Pay now to avoid legal action: http://772.cryptoearnings.biz
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://439.updatelink.co"
ham,Can you help troubleshoot the VPN connection later?
spam,Your mobile plan will expire soon. Renew now: http://943.claim-today.org
ham,"Hey, let's grab coffee after the team sync?"
spam,Suspicious SIM change detected. Review your account: http://79.cryptoearnings.biz
spam,Your tax return was flagged for fraud. Respond here: http://880.claim-today.org
ham,I'm uploading the Q1 security audit report now.
ham,I'll send the logs over after lunch.
spam,Critical security update required. Click to download patch: http://657.updatelink.co
spam,Receipt for your $$3214.84 purchase is attached. Open here: http://533.auth-fix.com
spam,Earn free Bitcoin now. Only a few spots left: http://49.gov-secure.net
ham,I'll send the logs over after lunch.
ham,Thanks for reviewing the new device policy doc.
ham,Lunch is on me today if you’re free.
ham,"Hey, let's grab coffee after the team sync?"
ham,"Hey, let's grab coffee after the team sync?"
ham,Have you seen the updated incident response flow?
spam,Your mobile plan will expire soon. Renew now: http://167.claim-today.org
ham,Have you seen the updated incident response flow?
ham,Can you help troubleshoot the VPN connection later?
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://669.cryptoearnings.biz
spam,Earn free Bitcoin now. Only a few spots left: http://278.claim-today.org
ham,I'm uploading the Q1 security audit report now.
spam,Earn free Bitcoin now. Only a few spots left: http://632.updatelink.co
spam,Suspicious SIM change detected. Review your account: http://316.claim-today.org
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://406.gov-secure.net
spam,Insurance claim denied. Appeal by clicking here: http://620.cryptoearnings.biz
spam,Critical security update required. Click to download patch: http://797.gov-secure.net
spam,Your medical test results are in. View securely: http://12.auth-fix.com
ham,Sending the final report to the SOC team now.
spam,Your medical test results are in. View securely: http://640.claim-today.org
spam,IRS notice: You owe $4295.45 in back taxes. Pay now to avoid legal action: http://12.gov-secure.net
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://712.gov-secure.net"
spam,Order #507846 cannot be delivered. Reschedule now: http://938.cryptoearnings.biz
spam,Invoice #44312 needs payment today. See details: http://207.updatelink.co
ham,Meeting's moved to Friday — updating the calendar.
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://191.cryptoearnings.biz
ham,Thanks for reviewing the new device policy doc.
ham,I'll send the logs over after lunch.
ham,Have you seen the updated incident response flow?
spam,Insurance claim denied. Appeal by clicking here: http://350.gov-secure.net
spam,New sign-in from unknown device. Confirm identity: http://949.gov-secure.net
ham,I'm uploading the Q1 security audit report now.
spam,Receipt for your $$3967.90 purchase is attached. Open here: http://460.auth-fix.com
ham,Lunch is on me today if you’re free.
spam,Deposit 0.01 BTC and get 10x back instantly: http://35.claim-today.org
ham,Thanks for reviewing the new device policy doc.
spam,Your computer is infected! Call Microsoft Support now: http://149.updatelink.co
spam,Your tax return was flagged for fraud. Respond here: http://581.cryptoearnings.biz
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://391.gov-secure.net
ham,Can you help troubleshoot the VPN connection later?
spam,New sign-in from unknown device. Confirm identity: http://637.claim-today.org
ham,I'll send the logs over after lunch.
spam,Suspicious SIM change detected. Review your account: http://917.gov-secure.net
ham,Have you seen the updated incident response flow?
spam,Deposit 0.01 BTC and get 10x back instantly: http://695.gov-secure.net
ham,Meeting's moved to Friday — updating the calendar.
ham,Sending the final report to the SOC team now.
ham,Meeting's moved to Friday — updating the calendar.
spam,Insurance claim denied. Appeal by clicking here: http://105.cryptoearnings.biz
spam,Order #137569 cannot be delivered. Reschedule now: http://691.auth-fix.com
ham,Have you seen the updated incident response flow?
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://202.auth-fix.com
spam,Insurance claim denied. Appeal by clicking here: http://322.auth-fix.com
ham,I'll send the logs over after lunch.
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://21.updatelink.co
spam,Reset your password now or lose access to your account: http://139.gov-secure.net
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://628.gov-secure.net
ham,Lunch is on me today if you’re free.
ham,Sending the final report to the SOC team now.
spam,Insurance claim denied. Appeal by clicking here: http://894.claim-today.org
ham,"Hey, let's grab coffee after the team sync?"
ham,I'll send the logs over after lunch.
ham,I'm uploading the Q1 security audit report now.
spam,Suspicious withdrawal of $1090.99 detected. Verify immediately: http://150.claim-today.org
spam,IRS notice: You owe $4595.39 in back taxes. Pay now to avoid legal action: http://162.gov-secure.net
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://167.claim-today.org"
spam,Your mobile plan will expire soon. Renew now: http://802.cryptoearnings.biz
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Reset your password now or lose access to your account: http://827.updatelink.co
ham,Thanks for reviewing the new device policy doc.
spam,Your mobile plan will expire soon. Renew now: http://942.cryptoearnings.biz
ham,Can you help troubleshoot the VPN connection later?
spam,Receipt for your $$2772.28 purchase is attached. Open here: http://229.gov-secure.net
spam,Deposit 0.01 BTC and get 10x back instantly: http://130.updatelink.co
ham,Meeting's moved to Friday — updating the calendar.
spam,Suspicious withdrawal of $3688.96 detected. Verify immediately: http://543.gov-secure.net
spam,IRS notice: You owe $2546.85 in back taxes. Pay now to avoid legal action: http://635.cryptoearnings.biz
ham,Sending the final report to the SOC team now.
ham,Thanks for reviewing the new device policy doc.
ham,I'm uploading the Q1 security audit report now.
ham,Thanks for reviewing the new device policy doc.
ham,"Hey, let's grab coffee after the team sync?"
ham,Lunch is on me today if you’re free.
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Suspicious SIM change detected. Review your account: http://125.auth-fix.com
spam,Earn free Bitcoin now. Only a few spots left: http://691.cryptoearnings.biz
spam,Insurance claim denied. Appeal by clicking here: http://83.auth-fix.com
spam,Critical security update required. Click to download patch: http://476.cryptoearnings.biz
spam,Insurance claim denied. Appeal by clicking here: http://576.gov-secure.net
spam,Suspicious withdrawal of $3674.46 detected. Verify immediately: http://108.updatelink.co
ham,Can you help troubleshoot the VPN connection later?
spam,Receipt for your $$705.77 purchase is attached. Open here: http://362.cryptoearnings.biz
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Meeting's moved to Friday — updating the calendar.
spam,Order #714765 cannot be delivered. Reschedule now: http://859.updatelink.co
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Your medical test results are in. View securely: http://324.claim-today.org
ham,"Hey, let's grab coffee after the team sync?"
ham,Have you seen the updated incident response flow?
ham,Thanks for reviewing the new device policy doc.
ham,Sending the final report to the SOC team now.
spam,Deposit 0.01 BTC and get 10x back instantly: http://807.claim-today.org
ham,Can you help troubleshoot the VPN connection later?
spam,Your medical test results are in. View securely: http://425.claim-today.org
ham,I'll send the logs over after lunch.
ham,Have you seen the updated incident response flow?
ham,"Hey, let's grab coffee after the team sync?"
ham,Have you seen the updated incident response flow?
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://745.claim-today.org"
ham,Thanks for reviewing the new device policy doc.
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://360.cryptoearnings.biz
ham,I'm uploading the Q1 security audit report now.
ham,I'll send the logs over after lunch.
spam,Order #536435 cannot be delivered. Reschedule now: http://740.claim-today.org
spam,Invoice #44312 needs payment today. See details: http://936.claim-today.org
spam,Invoice #44312 needs payment today. See details: http://439.auth-fix.com
ham,Meeting's moved to Friday — updating the calendar.
ham,Sending the final report to the SOC team now.
ham,Meeting's moved to Friday — updating the calendar.
spam,Your tax return was flagged for fraud. Respond here: http://355.auth-fix.com
spam,Your medical test results are in. View securely: http://959.auth-fix.com
ham,Thanks for reviewing the new device policy doc.
ham,I'm uploading the Q1 security audit report now.
ham,I'll send the logs over after lunch.
spam,You're the lucky winner of our sweepstakes. Confirm details: http://512.gov-secure.net
